aX,aY,aZ,gX,gY,gZ
0.548,-0.734,-0.323,-4.456,18.372,16.663
0.541,-0.681,-0.302,-1.404,18.616,17.578
0.534,-0.642,-0.319,0.183,20.386,15.991
0.531,-0.645,-0.349,-0.488,21.729,13.245
0.514,-0.702,-0.381,-1.892,21.729,9.399
0.511,-0.721,-0.388,-1.770,19.958,7.996
0.512,-0.713,-0.397,0.793,17.944,7.568
0.518,-0.711,-0.390,2.808,15.930,6.714
0.522,-0.726,-0.380,2.563,14.404,5.371
0.522,-0.724,-0.403,1.038,14.343,4.883
0.525,-0.733,-0.419,-1.099,13.977,4.639
0.525,-0.758,-0.397,-1.892,11.963,4.150
0.519,-0.770,-0.418,-2.380,11.841,3.906
0.527,-0.741,-0.430,-2.319,11.536,4.822
0.537,-0.721,-0.390,-0.977,8.667,4.395
0.536,-0.745,-0.360,0.610,7.263,2.319
0.542,-0.794,-0.363,1.404,7.812,0.183
0.553,-0.805,-0.386,2.014,7.935,0.793
0.559,-0.790,-0.377,2.136,6.226,3.235
0.560,-0.863,-0.316,0.610,3.113,3.418
0.569,-0.867,-0.276,-1.526,2.563,6.348
0.580,-0.810,-0.290,-2.747,5.127,10.986
0.585,-0.787,-0.329,-3.052,7.385,12.268
0.599,-0.781,-0.332,-2.075,7.080,11.292
0.603,-0.760,-0.325,-0.305,6.592,10.620
0.607,-0.745,-0.343,0.305,7.812,9.460
0.607,-0.733,-0.371,0.427,9.277,7.690
0.603,-0.728,-0.401,0.916,10.010,6.104
0.597,-0.739,-0.445,1.526,10.437,4.578
0.593,-0.762,-0.473,1.953,9.399,3.784
0.588,-0.783,-0.480,2.380,6.531,4.089
0.590,-0.797,-0.485,1.526,3.906,6.042
0.602,-0.779,-0.451,0.244,0.671,9.155
0.611,-0.744,-0.406,-0.488,-1.648,11.902
0.628,-0.703,-0.379,-1.526,-1.648,13.123

0.174,-0.682,-1.725,-11.414,30.823,31.738
0.137,-0.544,-1.925,-13.672,28.870,41.199
0.118,-0.352,-2.141,-14.465,29.175,46.326
0.077,-0.169,-2.368,-7.263,31.067,43.640
0.023,-0.041,-2.638,7.996,29.724,31.799
-0.105,-0.144,-2.896,14.282,24.292,10.742
-0.205,-0.471,-3.112,31.067,15.381,-7.019
-0.317,-0.105,-3.505,48.218,7.202,4.456
-0.489,0.042,-3.719,60.120,-14.709,1.404
-0.569,0.240,-3.781,58.716,-54.993,-9.827
