aX,aY,aZ,gX,gY,gZ
-0.306,-0.217,-0.991,2.869,-2.930,0.671
-0.300,-0.220,-0.973,4.761,-4.639,0.793
-0.280,-0.191,-0.910,6.104,-5.005,1.831
-0.308,-0.194,-0.949,4.822,-2.014,2.197
-0.288,-0.198,-0.923,4.883,-4.211,2.380
-0.284,-0.185,-0.892,4.517,-4.883,3.052
-0.273,-0.191,-0.880,2.441,-2.563,2.625
-0.297,-0.195,-0.928,0.000,2.258,2.258
-0.278,-0.193,-0.933,-0.793,2.563,2.563
-0.285,-0.181,-0.944,-3.540,3.540,2.686
-0.287,-0.196,-0.972,-7.019,5.737,2.136
-0.292,-0.206,-0.990,-9.094,6.165,1.587
-0.295,-0.212,-0.992,-9.460,4.578,1.770
-0.301,-0.209,-0.987,-9.277,2.930,2.136
-0.299,-0.204,-0.982,-7.812,1.465,2.258
-0.295,-0.201,-0.983,-5.249,-0.061,1.770
-0.295,-0.204,-0.980,-3.052,-2.136,0.916
-0.296,-0.210,-0.974,-0.977,-3.906,0.061
-0.292,-0.215,-0.963,0.305,-5.249,-0.183
-0.291,-0.218,-0.954,0.916,-5.798,0.000
-0.290,-0.213,-0.947,1.709,-5.981,0.427
-0.287,-0.211,-0.939,2.747,-6.165,0.305
-0.287,-0.223,-0.931,3.235,-6.104,-0.061
-0.289,-0.229,-0.927,2.930,-5.432,0.061
-0.295,-0.229,-0.936,2.625,-4.211,0.793
-0.294,-0.223,-0.944,2.991,-3.418,1.709
-0.296,-0.213,-0.947,3.540,-3.296,2.441
-0.298,-0.205,-0.953,4.517,-3.418,2.686
-0.294,-0.192,-0.963,6.042,-3.601,2.747
-0.288,-0.179,-0.959,5.737,-4.272,2.502
-0.295,-0.185,-0.950,3.723,-4.822,1.465
-0.302,-0.200,-0.946,2.869,-4.517,0.732
-0.306,-0.205,-0.938,2.991,-4.089,0.977
-0.307,-0.202,-0.929,2.502,-3.357,1.587
-0.309,-0.201,-0.926,2.319,-2.258,2.014
-0.309,-0.208,-0.919,2.441,-1.282,1.892
-0.314,-0.215,-0.926,2.075,0.000,2.075
-0.318,-0.207,-0.953,2.380,2.319,2.930
-0.311,-0.192,-0.987,3.174,3.906,3.906
-0.306,-0.187,-1.008,3.296,3.662,4.028
-0.299,-0.187,-1.004,2.930,1.770,3.906
-0.286,-0.180,-0.985,2.258,-0.671,3.845
-0.280,-0.168,-0.973,1.587,-2.014,3.601
-0.258,-0.161,-0.931,1.770,-2.319,2.563
-0.286,-0.172,-0.970,1.526,-0.671,1.099
-0.271,-0.187,-0.947,2.136,-3.113,0.061
-0.272,-0.185,-0.909,2.136,-4.700,-0.122
-0.274,-0.199,-0.896,1.587,-3.540,-0.916
-0.270,-0.218,-0.902,1.892,-1.221,-1.709
-0.301,-0.230,-0.945,3.113,2.808,-1.648
-0.302,-0.243,-0.984,4.822,4.089,-0.977
-0.301,-0.224,-0.990,6.470,2.991,0.854
-0.298,-0.206,-1.007,7.019,2.930,2.625
-0.292,-0.191,-1.012,5.859,1.526,3.296
-0.286,-0.171,-1.006,4.700,-0.183,3.784
-0.281,-0.152,-0.998,3.357,-1.526,3.662
-0.276,-0.140,-0.981,2.625,-2.625,2.930
-0.272,-0.150,-0.956,1.465,-3.540,1.404
-0.274,-0.167,-0.929,0.000,-4.211,-0.244
-0.278,-0.182,-0.912,-0.732,-4.150,-1.099
-0.275,-0.193,-0.905,0.061,-3.296,-1.404
-0.278,-0.199,-0.907,1.282,-2.075,-1.465
-0.284,-0.202,-0.923,1.709,-0.244,-1.038
-0.287,-0.202,-0.951,1.526,1.831,-0.610
-0.289,-0.195,-0.984,1.282,3.296,0.061
-0.291,-0.194,-1.001,1.099,2.808,0.366
-0.293,-0.199,-1.001,0.549,1.160,0.427
-0.293,-0.201,-0.990,0.122,-0.427,0.671
-0.286,-0.195,-0.976,0.366,-1.465,0.916
-0.281,-0.192,-0.964,1.343,-2.563,0.977
-0.278,-0.196,-0.944,2.136,-3.296,0.549
-0.275,-0.200,-0.925,2.380,-3.662,0.244

-0.635,-0.085,-2.092,-12.512,235.840,-41.260
-0.787,-0.222,-2.366,-40.222,218.079,-47.852
-0.897,-0.422,-2.708,-62.622,198.914,-53.040
-0.871,-0.583,-2.625,-83.740,147.583,-48.828
-0.797,-0.711,-2.243,-100.769,90.637,-37.109
-0.692,-0.757,-1.782,-99.670,40.222,-23.682
-0.562,-0.698,-1.287,-75.989,-5.737,-10.681
-0.469,-0.667,-0.865,-44.983,-37.048,-3.113
-0.361,-0.622,-0.552,-11.841,-50.720,1.465
-0.393,-0.507,-0.336,20.142,-50.171,4.883
-0.341,-0.395,-0.246,51.514,-34.058,9.644
-0.275,-0.231,-0.374,69.824,-1.099,18.921
-0.200,-0.083,-0.540,68.481,26.428,23.499
-0.168,-0.001,-0.617,58.899,40.039,21.118
-0.165,0.035,-0.647,48.767,48.401,16.418
-0.195,0.047,-0.710,36.987,59.143,11.902
-0.239,0.042,-0.857,26.001,72.937,8.301
-0.291,0.019,-1.055,16.541,84.473,4.700
-0.334,-0.015,-1.195,6.897,85.571,1.709
-0.387,-0.057,-1.198,-3.235,76.599,-0.305
-0.391,-0.083,-1.169,-6.958,65.674,-0.305
-0.400,-0.080,-1.175,-3.601,59.326,0.061
-0.391,-0.056,-1.198,3.540,52.612,-0.244
-0.385,-0.009,-1.215,11.719,43.823,-1.343
-0.385,0.005,-1.194,13.489,34.363,-4.211
-0.402,-0.045,-1.139,8.423,26.062,-9.155
-0.420,-0.110,-1.084,3.540,20.752,-12.634
-0.432,-0.140,-1.047,0.916,17.822,-12.878
-0.448,-0.150,-1.033,-1.160,16.663,-11.902
-0.462,-0.183,-1.038,-3.479,15.747,-11.658
-0.474,-0.224,-1.048,-5.554,14.282,-11.047
-0.498,-0.232,-1.110,-8.362,10.864,-9.705
-0.497,-0.256,-1.066,-10.071,3.113,-8.484
-0.493,-0.231,-1.070,-11.230,2.319,-4.211
-0.491,-0.219,-1.122,-15.015,3.906,-1.343
-0.488,-0.226,-1.087,-17.883,0.549,-0.305
-0.491,-0.227,-1.024,-18.921,-2.380,0.549
-0.489,-0.260,-0.988,-19.714,-3.540,0.488
-0.491,-0.281,-0.951,-17.334,-5.554,1.221
-0.479,-0.293,-0.917,-11.230,-8.179,2.747
-0.460,-0.266,-0.899,-2.075,-8.972,5.005
-0.437,-0.223,-0.904,5.188,-8.545,7.141
-0.416,-0.200,-0.891,7.324,-8.728,7.751
-0.397,-0.177,-0.865,6.775,-9.155,8.240
-0.387,-0.167,-0.870,7.019,-7.385,7.996
-0.383,-0.156,-0.879,7.629,-5.432,8.240
-0.370,-0.137,-0.870,7.263,-4.395,8.789
-0.355,-0.126,-0.854,6.165,-3.418,8.911
-0.347,-0.115,-0.858,6.165,-1.465,8.606
-0.342,-0.095,-0.881,6.958,1.038,8.423
-0.335,-0.071,-0.907,6.592,3.235,7.935
